song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,73,87,70,6,0,28,5
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,60,43,27,94,0,14,4
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,63,46,85,1,0,9,5
Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,52,7,61,51,0,11,3
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,63,85,62,6,0,35,4
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,59,72,62,18,0,9,3
Take Two,BTS,1,2023,6,9,674,47,62,57,59,3,0,38,3
Butter,BTS,1,2021,5,21,4779,6,79,70,36,0,0,6,11
Dynamite,BTS,1,2020,8,21,8528,5,75,74,77,1,0,9,10
Permission to Dance,BTS,1,2021,7,9,1801,2,70,65,74,1,0,34,4
Yet To Come,BTS,1,2022,6,10,829,0,56,68,89,4,0,33,19
Run BTS,BTS,1,2022,6,10,736,0,72,70,82,2,0,4,17
For Youth,BTS,1,2022,6,10,327,0,63,29,51,43,0,25,4
Born Singer,BTS,1,2022,6,10,279,0,60,68,84,4,0,24,11
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,71,34,88,16,0,44,4
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,0,67,81,36,64,0,15,3
Last Last,Burna Boy,1,2022,5,12,4526,12,80,55,56,13,0,8,9
Alone,Burna Boy,1,2022,11,4,782,2,61,32,67,15,0,11,5
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,80,45,62,76,0,10,38
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,85,42,80,6,0,17,14
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,67,37,46,13,0,10,39
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,79,59,86,4,0,8,11
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,82,76,70,16,0,8,5
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,64,31,87,4,4,8,4
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,81,90,73,28,0,29,4
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,76,96,70,18,0,33,4
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,63,45,64,34,0,9,8
Primera Cita,Carin Leon,1,2022,4,20,266,27,54,50,40,61,0,10,6
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,49,78,64,19,0,11,4
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,93,47,47,33,0,10,36
LET GO,Central Cee,1,2022,12,15,2301,20,74,51,45,86,0,21,38
Doja,Central Cee,1,2022,7,20,4169,44,91,97,57,38,0,40,29
SloMo,Chanel,1,2021,12,24,1211,0,73,59,81,13,0,9,6
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,79,79,84,2,0,5,5
Light Switch,Charlie Puth,1,2022,1,19,4049,0,69,91,63,11,0,9,31
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,71,55,44,74,0,11,6
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,88,72,59,62,0,9,3
Swim,Chase Atlantic,1,2017,10,4,2742,0,67,8,54,27,0,8,4
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,91,43,71,9,0,9,8
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,34,87,51,69,36,0,9,8
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,85,64,81,2,5,7,9
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,56,25,45,1,3,7,3
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,74,96,80,18,0,5,5
